customer_id,customer_age,customer_number_of_dependents,customer_education,customer_salary_range,customer_relationship_length,customer_available_credit_limit,total_products,period_inactive,contacts_in_last_year,credit_card_debt_balance,remaining_credit_limit,transaction_amount_ratio,total_transaction_amount,total_transaction_count,transaction_count_ratio,average_utilization,customer_gender_M,customer_gender_Unknown,customer_civil_status_Married,customer_civil_status_Single,customer_civil_status_Unknown,credit_card_classification_Gold,credit_card_classification_Platinum,credit_card_classification_Silver,account_status_closed
483719,1.2001566494789688,1.2568536747432058,3.0,4.0,0.6303134846053806,0.42280075412031076,0.5847492922296561,-1.324011200521219,1.405805915631037,0.9012844380731921,0.9240225805856738,0.4182661797529997,-0.17582025055511952,-0.04572863969610315,-0.14007138715358566,-0.6050218013093904,1,0,0,1,0,0,0,0,0
906554,-0.3026344616305563,2.0233149021870536,4.0,1.0,0.3797154377755099,-0.4738424365891558,0.5847492922296561,0.6415540710872008,-0.40227833949376623,-1.4267101811566103,-0.6537378015492487,-0.049192800502041986,-0.35777398498353336,-1.1126298844820843,2.2268636490797586,-0.9933959359466161,0,0,0,0,1,0,0,0,1
186756,0.7743658346646034,-0.27606878014448993,4.0,1.0,0.6303134846053806,-0.4046358329627033,-0.36369532637990964,0.6415540710872008,0.5017637880686353,-1.4267101811566103,-0.5157981664908388,-0.14085142408146203,-0.4188778510229261,-1.2833340836478413,-0.10830044706991658,-0.9933959359466161,0,0,1,0,0,0,0,0,1
799270,-0.3026344616305563,0.4903924472993579,3.0,2.0,0.0038183675307038776,-0.2212466315065161,-0.36369532637990964,0.6415540710872008,-0.40227833949376623,1.6588940613928436,-0.42780789568619354,-0.12251969936557801,-0.15287235419810316,0.12497555946965383,-0.2528582244506107,0.5020259656471876,1,0,1,0,0,0,0,0,0
361158,0.5739936865166666,-0.27606878014448993,1.0,1.0,0.8809115314352514,-0.4418115624886634,10.069195478325314,-0.34122856471700913,0.5017637880686353,0.3214311179596078,-0.7471309837190914,0.9453032653346644,-0.2811904728808278,-0.5578412371933741,-0.1353057461410353,1.4421091513578557,0,0,1,0,0,0,0,0,0
857279,0.699226279109127,0.4903924472993579,3.0,5.0,1.3821076250949926,-0.2761250893781715,0.26860108602646754,3.5899019784998303,0.5017637880686353,0.9907755424459017,-0.4770956789564647,0.34493928088946363,-0.018308062542462776,0.9784965552984387,0.21894023579187452,0.4040250157854578,1,0,0,0,1,0,0,0,0
842576,1.3253892420714293,-0.27606878014448993,1.0,1.0,1.8833037187547341,-0.4700252857896152,-0.36369532637990964,2.6071193426956207,-0.40227833949376623,-1.4267101811566103,-0.6461296202390726,-2.377321839419309,-0.48758575372499874,-1.1553059342735235,-0.7325994197140133,-0.9933959359466161,0,0,0,1,0,0,0,0,1
177593,-1.8054255727400814,-1.0425300075883377,6.0,3.0,-1.1238728432037142,-0.004498851323909358,0.26860108602646754,0.6415540710872008,0.5017637880686353,-0.6838114243091853,0.21491802977781255,-0.150017286439404,-0.41942099649883174,-0.30178493844473864,-0.2560353184589776,-0.7756160473649942,1,0,0,1,0,0,0,0,0
647871,0.07306331614682494,0.4903924472993579,1.0,5.0,0.755612508020316,1.3501471143043426,-0.6798435325830983,1.6243367068914107,2.3098480431934383,-1.4267101811566103,2.9817599662451832,-1.0941011093074293,-0.4942392858048437,-1.2833340836478413,-0.36087942073508555,-0.9933959359466161,1,0,0,0,0,0,0,1,1
304797,-1.1792626097777792,0.4903924472993579,1.0,1.0,-0.8732747963738435,-0.16996404033008003,-0.04754712017672105,1.6243367068914107,-0.40227833949376623,0.7811456952166779,-0.24664496970620348,-0.04002693814409999,-0.3994604002592968,-0.3444609882361779,0.23482570583370907,-0.0642017446650293,0,0,0,1,0,0,0,0,0
